Area,Element,mean,std,min,max,Cluster
Dominica,Standard Deviation,0.36557954545454546,0.09573739484759758,0.268,0.571,0
Dominica,Temperature change,0.23244339622641508,0.5239292042358518,-1.09,1.63,3
Dominican Republic,Standard Deviation,0.4327708333333333,0.11203086784845144,0.249,0.567,0
Dominican Republic,Temperature change,0.5370202020202021,0.6882729195839482,-1.042,1.923,3
Eastern Africa,Standard Deviation,0.345125,0.047695612784335206,0.252,0.451,0
Eastern Africa,Temperature change,0.46777647058823535,0.5113524405802665,-0.463,1.71,3
Eastern Asia,Standard Deviation,0.7186504854368932,0.41328266708928013,0.268,1.725,4
Eastern Asia,Temperature change,0.47856043956043953,0.9180732869413859,-2.273,3.186,8
Eastern Europe,Standard Deviation,0.9916315789473684,0.5005192846547576,0.391,1.94,4
Eastern Europe,Temperature change,0.7276179775280899,1.5176848135596204,-2.428,6.717,9
Ecuador,Standard Deviation,0.5646451612903226,0.14997569695593804,0.388,0.82,0
Ecuador,Temperature change,0.47964,0.5739384495208384,-0.678,2.023,3
Egypt,Standard Deviation,0.8654134615384615,0.2845798678337084,0.364,1.295,4
Egypt,Temperature change,0.4402087912087912,0.9275640680655437,-2.16,2.808,8
El Salvador,Standard Deviation,0.48094166666666666,0.11114343037195645,0.319,0.639,0
El Salvador,Temperature change,0.3189047619047619,0.5244862459071027,-1.192,1.627,3
Equatorial Guinea,Standard Deviation,0.2871875,0.06633127586512065,0.198,0.447,0
Equatorial Guinea,Temperature change,0.4612674418604651,0.5541111891906895,-0.482,1.82,3
Eritrea,Temperature change,1.2237368421052632,0.8545322628992449,-0.867,3.435,2
Estonia,Temperature change,1.5566666666666666,2.019908894102947,-4.04,6.842,5
Eswatini,Standard Deviation,0.6724095238095238,0.15732845940640916,0.312,0.875,0
Eswatini,Temperature change,0.49536206896551727,0.8204420271658623,-1.562,2.796,8
Ethiopia,Temperature change,1.050153846153846,0.4275403051767251,-0.156,1.922,4
Ethiopia PDR,Standard Deviation,0.41780645161290325,0.09588480771809976,0.275,0.609,0
Ethiopia PDR,Temperature change,0.14550000000000002,0.5023977254887518,-1.331,1.307,3
Europe,Standard Deviation,0.749072072072072,0.37389385250390633,0.355,1.686,4
Europe,Temperature change,0.7329905660377358,1.42429054349564,-3.123,6.372,9
European Union,Standard Deviation,0.9144479166666667,0.3709285892343748,0.377,1.619,4
European Union,Temperature change,0.5104516129032258,1.202795724426412,-3.786,2.848,7
Falkland Islands (Malvinas),Standard Deviation,0.6635405405405406,0.18671258283412123,0.315,1.042,4
Falkland Islands (Malvinas),Temperature change,-0.04944827586206897,0.6833075330545274,-1.723,1.11,3
Faroe Islands,Standard Deviation,0.9555686274509805,0.32191652290444733,0.468,1.526,4
Faroe Islands,Temperature change,0.49284042553191487,0.9483462606960397,-2.462,2.757,8
Fiji,Standard Deviation,0.4021487603305785,0.0892278601070526,0.205,0.577,0
Fiji,Temperature change,0.46096296296296296,0.5716613095365518,-1.036,1.829,3
Finland,Standard Deviation,1.9698429752066116,0.8876976400429037,0.942,3.566,2
Finland,Temperature change,0.39448936170212767,2.269898807581475,-4.757,8.577,6
France,Standard Deviation,1.1396774193548387,0.4121137496332124,0.427,2.403,2
France,Temperature change,0.633078947368421,1.5728932427231648,-4.479,4.709,9
French Guiana,Standard Deviation,0.30645283018867925,0.04645328059058943,0.226,0.385,0
French Guiana,Temperature change,0.46190909090909094,0.6654473798212784,-0.648,1.897,3
French Polynesia,Standard Deviation,0.3516195652173913,0.05754727485958768,0.274,0.442,0
French Polynesia,Temperature change,0.31049450549450547,0.382272252418973,-0.636,1.118,3
French Southern and Antarctic Territories,Standard Deviation,0.6450967741935484,0.13497141923837133,0.373,0.858,0
French Southern and Antarctic Territories,Temperature change,0.2812352941176471,0.6279495097814264,-1.38,1.765,3
Gabon,Standard Deviation,0.29895145631067965,0.07792358985378883,0.195,0.441,0
Gabon,Temperature change,0.2902056074766355,0.5420645846488439,-0.949,1.572,3
Gambia,Standard Deviation,0.5422448979591836,0.1137949921193054,0.382,0.812,0
Gambia,Temperature change,0.8512626262626263,0.8196877527182517,-1.902,3.314,1
Georgia,Temperature change,1.051590909090909,1.289581008541089,-1.805,3.645,1
Germany,Standard Deviation,1.3834423076923075,0.5952785890497242,0.614,2.957,2
Germany,Temperature change,0.5220103092783505,1.509424590247095,-4.914,4.279,7
Ghana,Standard Deviation,0.36693939393939395,0.07949956531818829,0.235,0.571,0
Ghana,Temperature change,0.44695348837209303,0.5801597529885092,-1.437,1.63,3
Gibraltar,Standard Deviation,0.8974761904761904,0.23958518218748326,0.41,1.26,4
Gibraltar,Temperature change,0.415495652173913,1.0789641424046335,-2.089,3.022,8
Greece,Standard Deviation,0.9267352941176471,0.2855540706360939,0.425,1.603,4
Greece,Temperature change,0.35969,1.0125074953706847,-1.826,4.287,8
Greenland,Standard Deviation,1.2278653846153846,0.5725278313104905,0.544,2.212,2
Greenland,Temperature change,0.5593809523809524,1.6496855375224155,-3.278,5.956,9
Grenada,Standard Deviation,0.39519230769230773,0.08422716358684405,0.283,0.577,0
Grenada,Temperature change,0.37720202020202026,0.5183478656190218,-0.84,1.713,3
Guadeloupe,Standard Deviation,0.3650813953488372,0.10376650429931947,0.245,0.555,0
Guadeloupe,Temperature change,0.26815596330275226,0.49749368457394666,-0.93,1.417,3
Guatemala,Standard Deviation,0.4843125,0.1564707009735621,0.241,0.706,0
Guatemala,Temperature change,0.4216951219512195,0.6204281215821741,-1.528,2.036,3
Guinea,Standard Deviation,0.40382407407407406,0.11640332948828,0.254,0.783,0
Guinea,Temperature change,0.6060902255639098,0.6110726096151903,-0.809,2.181,3
Guinea-Bissau,Standard Deviation,0.4520526315789474,0.07452592986152216,0.323,0.67,0
Guinea-Bissau,Temperature change,0.9262197802197802,0.832310182593509,-0.759,3.299,1
Guyana,Standard Deviation,0.3650555555555556,0.06463973971293327,0.269,0.506,0
Guyana,Temperature change,0.6191914893617021,0.6351305052006774,-0.75,2.011,3
